id,invoice,purchaser,sponsor,product,total_cv,volume,transaction_date,amount_paid,credited,t_status,order_type,payment_type,phone,gift_card,coupon,ledger_payment
9865592,OLZ1001,"Core Tech Department","Admin Account","1 Earring Backs, 1 gc-test",103.00,103.0000,"2021-06-01 03:27:15",$93.00,,Approved,Wholesale,"Gift Cards + CC",0123456789,$-10.00,,0.0000
9865593,OLZ1002,"Core Tech Department","Admin Account","1 N1088, 1 gc-test",117.00,117.0000,"2021-06-01 06:06:50",$17.00,,Approved,Wholesale,"Gift Cards + CC",0123456789,$-100.00,,0.0000
9865594,OLZ1003,"Core Tech Department","Admin Account","1 A1000, 1 gc-test",149.00,149.0000,"2021-06-01 06:21:49",$49.00,,Approved,Wholesale,"Gift Cards + CC",0123456789,$-49.00,,0.0000
9865595,OLZ1004,"Core Tech Department","Admin Account","1 A1000, 1 gc-test",149.00,149.0000,"2021-06-01 07:23:36",$198.00,,Approved,Wholesale,"Gift Cards + CC",0123456789,$-49.00,,0.0000
9865596,OLZ1005,"Core Tech Department","Admin Account","1 A1000, 1 gc-test",149.00,149.0000,"2021-06-01 07:41:37",$100.00,,Approved,Wholesale,"Gift Cards + CC",0123456789,$-49.00,,0.0000
9865597,OLZ1006,"Core Tech Department","Admin Account","1 A1000, 1 gc-test, 1 Earring Backs",149.00,149.0000,"2021-06-03 15:16:53",$102.70,,Approved,Wholesale,"Gift Cards + CC",0123456789,$-44.10,"test - $5.20",0.0000
9865598,OLZ1007,"Core Tech Department","Admin Account","1 gc-test, 1 A1003, 1 Earring Backs",149.00,149.0000,"2021-06-03 15:33:31",$102.70,,Approved,Wholesale,"Gift Cards + CC",0123456789,$-44.10,"test - $5.20",0.0000
9865599,OLZ1008,"Core Tech Department","Admin Account","1 gc-test, 1 Earring Backs, 1 B1030, 1 B1066",308.00,308.0000,"2021-06-03 16:27:26",$218.80,,Approved,Wholesale,"Gift Cards + CC",0123456789,$-71.10,"test - $21.10",0.0000
9865600,OLZ1009,"Core Tech Department","Admin Account","1 E1117",49.00,49.0000,"2021-06-14 06:14:36",$54.00,,Approved,Wholesale,CC,,$0.00,,0.0000
9865604,y,"Mary Allunam","Mara Admin",,0.00,0.0000,"2021-06-06 22:38:52",,,Approved,Wholesale,,,$0.00,,0.0000
9865605,n,,"Ben- Dixon",,0.00,0.0000,"2021-06-10 02:33:10",,,Approved,Wholesale,,,$0.00,,0.0000
9865606,n,,"James Naxumtester",,0.00,0.0000,"2021-06-30 08:59:34",,,Approved,Wholesale,,,$0.00,,0.0000
9865608,r,"Commission Department","Admin Account",,0.00,0.0000,"2021-06-25 20:42:05",,,Approved,Wholesale,,,$0.00,,0.0000
9865610,k,"RCustomer Naxumtester","Admin Account",,0.00,0.0000,"2021-07-04 23:10:30",,,Approved,Wholesale,,2816470775,$0.00,,0.0000
9865612,i,,"Ben- Dixon",,0.00,0.0000,"2021-06-24 02:33:10",,,Approved,Wholesale,,,$0.00,,0.0000
9865613,x,,"Master Account",,0.00,0.0000,"2021-06-25 08:23:51",,,Approved,Wholesale,,,$0.00,,0.0000
9865614,e,"Anne Pangilan","Admin Account",,0.00,0.0000,"2021-06-10 21:09:24",,,Approved,Wholesale,,,$0.00,,0.0000
9865615,d,"Client Champs Departments","Admin Account",,0.00,0.0000,"2021-06-29 07:56:52",,,Approved,Wholesale,,5498798440,$0.00,,0.0000
9865616,r,"Ralph Ivan Arnibal","Admin Account",,0.00,0.0000,"2021-06-26 11:18:53",,,Approved,Wholesale,,123123123123,$0.00,,0.0000
9865617,h,"Jhimson Lupiga","Admin Account",,0.00,0.0000,"2021-06-18 20:50:09",,,Approved,Wholesale,,,$0.00,,0.0000
9865619,e,"Client Champ Department","Ben- Dixon",,0.00,0.0000,"2021-07-02 20:18:15",,,Approved,Wholesale,,,$0.00,,0.0000
9865620,y,"Chris Scappatura","Admin Account",,0.00,0.0000,"2021-06-27 22:38:59",,,Approved,Wholesale,,,$0.00,,0.0000
9865623,i,"Demo NxmTester","Master Account",,0.00,0.0000,"2021-06-28 13:44:07",,,Approved,Wholesale,,,$0.00,,0.0000
9865624,i,"Client Champs Departments","Ben- Dixon",,0.00,0.0000,"2021-06-08 20:39:57",,,Approved,Wholesale,,,$0.00,,0.0000
9865625,o,"Chris Scappatura","Admin Account",,0.00,0.0000,"2021-06-19 22:38:59",,,Approved,Wholesale,,,$0.00,,0.0000
9865626,c,"Crismarie Lopez","Admin Account",,0.00,0.0000,"2021-06-05 22:17:40",,,Approved,Wholesale,,,$0.00,,0.0000
9865627,b,"Ben Admin",,,0.00,0.0000,"2021-06-03 07:08:52",,,Approved,Wholesale,,NULL,$0.00,,0.0000
9865629,k,"Dana Carroll","Admin Account",,0.00,0.0000,"2021-06-20 06:12:07",,,Approved,Wholesale,,,$0.00,,0.0000
9865630,s,"Rosemay Romero","Admin Account",,0.00,0.0000,"2021-06-17 16:17:21",,,Approved,Wholesale,,1234567896,$0.00,,0.0000
9865634,j,"Client Champs Department","Admin Account",,0.00,0.0000,"2021-06-25 20:41:24",,,Approved,Wholesale,,,$0.00,,0.0000
9865636,y,"Holding Account","Owner Admin",,0.00,0.0000,"2021-06-28 07:37:20",,,Approved,Wholesale,,5555555555,$0.00,,0.0000
